task,user_prompt,additional_args,ground_truth
retrieval,Nominal value of shares,"{""true_qrel_list"": [""251604""]}","The par value for Class A shares is 0.01, and for Class B shares, it is 0.0002."
retrieval,What is a reasonable salary for the owner and sole member of a small S-Corp?,"{""true_qrel_list"": [""556220"", ""388704"", ""521657""]}","A reasonable salary for the owner and sole member of an S-Corp is what you would pay someone else to perform the same job. This amount should account for all tasks, including billable work, invoicing, and bookkeeping.

In the court case *Watson v. Commissioner*, an S-Corp owner paid himself a $24,000 salary while taking over $175,000 in distributions. The IRS determined this was too low and, based on a study of peer salaries, established a reasonable salary of $93,000.

However, if the sole shareholder is the only person generating revenue, it is difficult to justify that the S-Corp earned more than the value of your work. In such cases, it may be reasonable for all profits to be considered salary.

Because business owners are more likely to be audited, it is recommended to consult an accountant or attorney to help determine an appropriate and defensible salary."
retrieval,What exchange rate does El Al use when converting final payment amount to shekels?,"{""true_qrel_list"": [""482343"", ""348955""]}","The specific bank whose rate is used could be El Al's bank, your card-issuing bank, or the credit card company. The rate applied is a market rate for checks and transfers, which is set by banks multiple times throughout the day.

When a merchant like El Al offers to charge in a local currency like shekels, they can make a profit from the foreign exchange spread. It is difficult to know if this rate will be better than the one your own bank would offer. To verify which rate is used, you would need to contact El Al."
retrieval,How to find cheaper alternatives to a traditional home telephone line?,"{""true_qrel_list"": [""413832"", ""450742"", ""143100""]}","To find a cheaper alternative to a traditional home phone, you should first assess your needs, such as your typical calling patterns (local, long-distance) and desired features (caller ID, voicemail). This helps determine whether a pay-per-minute or a flat-rate service is more suitable.

Here are some alternatives:

*   **Voice over Internet Protocol (VOIP):** This service uses your existing internet connection. You can use a regular phone with a VOIP adapter box or use software on your computer. Plans range from pay-per-minute to monthly or yearly subscriptions. Some providers mentioned are Anveo, Callcentric, Skype, and UberConference. Free calls are often possible between customers of the same VOIP service.
*   **Cell Phone Only:** You can save money by simply not having a home phone service. However, be aware of downsides like battery life and potentially less reliable 911 service.
*   **Bare Minimum Landline:** Your local phone company may be required to offer a basic, unadvertised service that only provides a dial tone. You will need to call and ask for it.

When choosing a service, check for discounts through work, school, or other associations. It is also recommended to avoid long-term contracts at first, as month-to-month plans can be cheaper."
retrieval,My previous and current employers both use Fidelity for 401(k). Does it make sense to rollover?,"{""true_qrel_list"": [""518379"", ""335991""]}","Yes, it can still make sense to roll over your 401(k) even if both plans are with the same provider. Here's why:

*   **Fees:** Your previous employer's plan may have higher administrative or maintenance fees for former employees.
*   **Investment Options:** A rollover can provide access to a better selection of investment funds, potentially with lower expense ratios. Rolling over to an IRA often opens up significantly more choices than a 401(k) plan.
*   **Consolidation:** It allows you to consolidate your accounts, simplifying management and avoiding the hassle of multiple accounts and passwords."
retrieval,Who Bought A Large Number Of Shares?,"{""true_qrel_list"": [""441155"", ""532211"", ""553066""]}","Based on the information provided, you can find out who purchased a large number of shares by checking specific SEC filings.

*   **Schedule 13D or 13G:** A person or group that acquires more than 5% of a company's shares must file a Schedule 13D. These can be found in the SEC's EDGAR database.
*   **SEC Forms 3, 4, and 5:** These forms report trading activity by company insiders (officers, directors, or beneficial owners of more than 10% of the stock). Form 4 is filed when an existing insider trades stock.

Another possibility is that one mutual fund is offloading its position to another fund."
retrieval,When do I sell a stock that I hold as a long-term position?,"{""true_qrel_list"": [""552707"", ""557877"", ""378173"", ""90294""]}","Based on the information provided, you should consider selling a long-term stock position based on these criteria:

*   **The ""Re-buy"" Test:** Frequently ask yourself, ""Would I buy this stock today at its current price and fundamentals?"" If the answer is no, you shouldn't continue to hold it.
*   **Change in Fundamentals:** Sell if your original reasons for investing in the company have changed.
*   **Pre-Defined Strategy:** The best approach is to establish a selling strategy *before* you invest to avoid emotional decisions. This plan could be based on reaching a specific price target, a certain percentage gain or loss, or a specific event or time when you'll need the money.
*   **Opportunity Cost:** Consider selling a losing investment if the money could be moved to a more promising one with a potentially better return."
retrieval,"Is this mortgage advice good, or is it hooey?","{""true_qrel_list"": [""394551"", ""160932"", ""293624"", ""233294"", ""243268"", ""379487"", ""62868""]}","Based on the information provided, this mortgage advice is considered ""hooey."" It is described as nonsensical, ""baloney,"" and a ""scam.""

Here are the key reasons cited:

*   **Flawed Math:** The logic used is compared to ""comparing apples versus oranges"" and is based on ""meaningless ratios.""
*   **Higher Costs:** The strategy often involves moving debt from a fixed-rate mortgage to a variable-rate, and potentially higher-interest, HELOC, which results in paying more to the bank.
*   **Identified as a Scam:** This approach is likened to fraudulent schemes such as the ""Money Merge Account"" from UFirst, ""Worth Unlimited,"" and ""Mortgage Relief."" One expert who tried to create a spreadsheet to quantify the benefits of a similar system could not find a way to make it work.
*   **A Better Alternative:** A much more sensible and less risky strategy is to simply make extra payments directly toward the mortgage principal. Making even one extra payment per year can significantly reduce the loan's term."
retrieval,Would the effects of an anticipated default by a nation be mostly symbolic?,"{""true_qrel_list"": [""234674"", ""109149""]}","No, the effects of a default would not be mostly symbolic. Once large segments of the population start becoming poor, the effects become real.

A default would impact a nation's ability to meet its internal obligations, leading to cuts in pensions, social security benefits, healthcare, and other public services."
retrieval,Selling Stock - All or Nothing?,"{""true_qrel_list"": [""340214"", ""223206""]}","No, it is not an all-or-nothing situation. An order can be filled through several smaller, partial transactions.

These partial fills typically add up to a single commission for the entire order. The probability of an order filling in parts depends on the stock's liquidity and the set limit price. A Good 'Til Canceled (GTC) order allows for partial fills to carry over to the next market session if the order does not fill completely in one day."
