text,metadata
"Title: 
Credit scoring has changed recently and the answer to this question will have slightly changed. While most points made here are true: But now (as of July 2017) it is possible having a large available credit balance can negatively effect your credit score directly:  ... VantageScore will now mark a borrower negatively for having   excessively large credit card limits, on the theory that the person   could run up a high credit card debt quickly. Those who have prime   credit scores may be hurt the most, since they are most likely to have   multiple cards open. But those who like to play the credit card   rewards program points game could be affected as well. source",{'doc_id': '2460'}
"Title: 
I would not sell unless the stock is starting to fall in price. If you are a long term investor you can review the weekly chart on a weekly basis to determine if the stock is still up-trending. Regarding HD below is a weekly chart for the last 4 years:  Basically if the price is making Higher Highs (HH) and Higher Lows (HL) it is up-trending. If it starts to make Lower Lows (LL) followed by Lower Highs (LH) then the uptrend is over and the stock could be entering a downtrend. With HD, the price has been up-trending but seems to now be hitting some headwinds. It has been making some HHs followed by some HLs throughout the last 2 years. It did make a LL in late August 2015 but then recovered nicely to make a new HH, so the uptrend was not broken. In early November 2016 it made another LL but this time it seems to be followed by a LH in mid-December 2016. This could be clear evidence that the uptrend may be ending. The final confirmation would be if the price drops below the early November low of $119.20 (the orange line). If price drops below this price it would be confirmation that the uptrend is over and this should be the point at which you should sell your HD shares. You could place an automatic stop loss order just below $119.20 so that you don't even need to monitor the stock frequently. Another indication that the uptrend may be in trouble is the divergence between the HHs of the price and the peaks of a momentum indicator (in this case the MACD). The two sloping red lines show that the price made HHs in April and August 2016 whilst the momentum indicator made LHs at these peaks in the price. As the lines are sloping in different directions it is demonstrating negative divergence, which means that the momentum of the uptrend is slowing down and can act as an early warning system to be more cautious in the near future. So the question you could be asking is when is a good time to sell out of HD (or at least some of your HD to rebalance)? Why sell something that is still increasing in price? Only sell if you can determine that the price will not be increasing anymore in the near to medium term.",{'doc_id': '2653'}
"Title: 
Many companies actually just issue new shares for employee compensation instead of buying back existing ones. So actually, the share price should go down because the same value is now diluted over more shares. In addition, this would not necessarily affect companies with many employees than those with fewer employees because companies with more employees tend to be bigger and thus have more shares (among which the change in demand would be distributed). Also, I think many companies do not issue shares to employees every pay day, but just e.g. once every quarter.",{'doc_id': '3656'}
"Title: 
Essentially, what you're describing is a leveraged investment.  As others noted, the question is how confident you can be that (a) the returns on the investment will exceed what you're paying in interest, and (b) that if you lose the bet you'll still be able to pay off the loan without severely injuring yourself.  I did essentially this when I bought my house, taking out a larger loan than necessary and leaving more money in my investments, which had been returning more than the mortgage's interest rate. I then got indecently lucky during the recession and was able to refinance down to under 4%, which I am very certain my investment will beat. I actually considered lengthening the term of the loan for that reason, or borrowing a bit more, but decided not to double down on the bet; that was my own risk-comfort threshold. Know exactly what your risks are, including secondary effects of these risks. Run the numbers to see what the likely return is. Decide whether you like the odds enough to go for it.",{'doc_id': '5152'}
"Title: 
Let's say I have two loans (say 2 car loans), and the high interest loan has a higher balance.  Both have a monthly payment of, say, $500. My income fluctuates a lot, so occasionally I only have $750.  I get hit with big fees those months, or maybe I just have to eat beans for those months.  I come on some extra money.  Maybe enough to get rid of the low interest small loan. Paying off the smaller loan frees up cash.  I don't have to eat beans on the bad months.",{'doc_id': '5827'}
"Title: 
Conceptually, yes, you need to worry about it.  As a practical matter, it's less likely to be exercised until expiry or shortly prior. The way to think about paying a European option is: [Odds of paying out] = [odds that strike is in the money at expiry] Whereas the American option can be thought of as: [Odds of paying out] = [odds that strike price is in the money at expiry] + ( [odds that strike price is in the money prior to expiry] * [odds that other party will exercise early] ). This is just a heuristic, not a formal financial tool.  But the point is that you need to consider the odds that it will go into the money early, for how long (maybe over multiple periods), and how likely the counterparty is to exercise early. Important considerations for whether they will exercise early are the strategy of the other side (long, straddle, quick turnaround), the length of time the option is in the money early, and the anticipated future movement. A quick buck strategy might exercise immediately before the stock turns around.  But that could leave further gains on the table, so it's usually best to wait unless the expectation is that the stock will quickly reverse its movement.  This sort of counter-market strategy is generally unlikely from someone who bought the option at a certain strike, and is equivalent to betting against their original purchase of the option.  So most of these people will wait because they expect the possibility of a bigger payoff. A long strategy is usually in no hurry to exercise, and in fact they would prefer to wait until the end to hold the time value of the option (the choice to get out of the option, if it goes back to being unprofitable).  So it usually makes little sense for these people to exercise early.  The same goes for a straddle, if someone is buying an option for insurance or to economically exit a position. So you're really just concerned that people will exercise early and forgo the time value of the American option.  That may include people who really want to close a position, take their money, and move on.  In some cases, it may include people who have become overextended or need liquidity, so they close positions.  But for the most part, it's less likely to happen until the expiration approaches because it leaves potential value on the table.  The time value of an option dwindles at the end because the implicit option becomes less likely, especially if the option is fairly deep in the money (the implicit option is then fairly deep out of the money). So early exercise becomes more meaningful concern as the expiration approaches.  Otherwise, it's usually less worrisome but more than a nonzero proposition.",{'doc_id': '6771'}
"Title: 
""Also, in the next sentence, what is buyers commission? Is it referring to the share holder? Or potential share holder? And why does the buyer get commission?  The buyer doesn't get a commission.  The buyer pays a commission.  So normally a buyer would say, """"I want to buy a hundred shares at $20.""""  The broker would then charge the buyer a commission.  Assuming 4%, the commission would be  So the total cost to the buyer is $2080 and the seller receives $2000.  The buyer paid a commission of $80 as the buyer's commission.   In the case of an IPO, the seller often pays the commission.  So the buyer might pay $2000 for a hundred shares which have a 7% commission.  The brokering agent (or agents may share) pockets a commission of $140.  Total paid to the seller is $1860.   Some might argue that the buyer pays either way, as the seller receives money in the transaction.  That's a reasonable outlook.  A better way to say this might be that typical trades bill the buyer directly for commission while IPO purchases bill the seller.  In the typical trade, the buyer negotiates the commission with the broker.  In an IPO, the seller does (with the underwriter).   Another issue with an IPO is that there are more parties getting commission than just one.  As a general rule, you still call your broker to purchase the stock.  The broker still expects a commission.  But the IPO underwriter also expects a commission.  So the 7% commission might be split between the IPO underwriter (works for the selling company) and the broker (works for the buyer).   The broker has more work to do than normal.  They have to put in the buyer's purchase request and manage the price negotiation.  In most purchases, you just say something like """"I want to offer $20 a share"""" or """"I want to purchase at the market price.""""  In an IPO, they may increase the price, asking for $25 a share.  And they may do that multiple times.  Your broker has to come back to you each time and get a new authorization at the higher price.  And you still might not get the number of shares that you requested.   Beyond all this, you may still be better off buying an IPO than waiting until the next day.  Sure, you pay more commission, but you also may be buying at a lower price.  If the IPO price is $20 but the price climbs to $30, you would have been better off paying the IPO price even with the higher commission.  However, if the IPO price is $20 and the price falls to $19.20, you'd be better off buying at $19.20 after the IPO.  Even though in that case, you'd pay the 4% commission on top of the $19.20, so about $19.97.   I think that the overall point of the passage is that the IPO underwriter makes the most money by convincing you to pay as high an IPO price as possible.  And once they do that, they're out of the picture.  Your broker will still be your broker later.  So the IPO underwriter has a lot of incentive to encourage you to participate in the IPO instead of waiting until the next day.  The broker doesn't care much either way.  They want you to buy and sell something.  The IPO or something else.  They don't care much as to what.   The underwriter may overprice the stock, as that maximizes their return.  If they can convince enough people to overpay, they don't care that the stock falls the day after that.  All their marketing effort is to try to achieve that result.  They want you to believe that your $20 purchase will go up to $30 the next day.  But it might not.   These numbers may not be accurate.  Obviously the $20 stock price is made up.  But the 4% and 7% numbers may also be inaccurate.  Modern online brokers are very competitive and may charge a flat fee rather than a percentage.  The book may be giving you older numbers that were correct in 1983 (or whatever year).  The buyer's commission could also be lower than 4%, as the seller also may be charged a commission.  If each pays 2%, that's about 4% total but split between a buyer's commission and a seller's commission.""",{'doc_id': '13732'}
"Title: 
I'd add that bigger banks tend to have experience doing more complicated things. As an example, my local credit union (~12 offices), simply didn't have the software to wire money to a Canadian bank, as where Chase did.  The Canadian routing number wasn't in the format of a US institution, and their software user interface just didn't allow for that number to be entered.  Also, most smaller banks don't have international toll free (in-country) numbers for foreign access. Smaller banks also tend to have less sophisticated business banking tools and experience. If you take a Treasury bond approval to a small bank, they'll generally look at you like you have three heads. So the international side of things is definitely in the favor of big banks; they have a lot more money to dump on services.",{'doc_id': '18749'}
"Title: 
If you don't have other installment loans on your credit report, adding this one could help your credit. That could potentially help you get a better interest rate when you apply for a mortgage. There are positive and negative factors. Positive: Negative:",{'doc_id': '22804'}
"Title: 
It's important to understand that, in general, security transactions involve you and a relatively unknown entity with your broker standing in the middle.  When you sell through Schwab, Schwab needs to receive the funds from the other side of the transaction.  If Schwab gave you access to the funds immediately, it would essentially be a loan until the transaction settles after funds and securities change hands.   If Schwab made funds available to you as soon as they were received, it might still be two days until the money is received; because the other side also has three days. Guaranteed one day settlement would have to include receipt of funds from the buyer in one day and Schwab can't control that. You need to remember this transaction likely includes at least one party in addition to you and Schwab.  Here's the SEC page related to the three day settlement period,  About Settling Trades in Three Days:  T+3",{'doc_id': '28314'}
